no title,Sinebrychoffin taidemuseo,1919,Hjalmar Linderin lahjoituskokoelma
Suuri tankosarja: 7/11,Kiasma,1998,Kouri-kokoelma
Myrskyinen merimaisema,Sinebrychoffin taidemuseo,1921,Paul ja Fanny Sinebrychoffin taidekokoelma
Istuva nainen,Ateneum,2011,Mukka
Kaikkivaltias,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Kaikkivaltias,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
nimetön (omakuva),Kiasma,1999,Maj-Lis Pitkäsen kokoelma
P. Hieronymus ulkosalla,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
P. Hieronymus ulkosalla,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen,Ateneum,1903,Antellin kokoelmat
Syksyinen vaaramaisema (Keräsenvaara),Ateneum,1994,Suomen Säästöpankki Oy:n taidekokoelma
49. Maalaus,Kiasma,2003,Skopin kokoelma
Arvostelulautakunta,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
"Istuva, lapioonsa nojaava mies, luonnos",Ateneum,2011,Ateneumin ystävien kokoelma
luonnos,Ateneum,no date,Tuomo Sepon kokoelma
Sikarityö,Kiasma,2014,Aappo M. Kähösen lahjoituskokoelma
Maisemaharjoitelma Italiasta,Ateneum,1917,Aspelin-Haapkylän kokoelma
Nainen jolla kahdet kasvot keskivartalossa,Ateneum,no date,Rolando ja Siv Pieraccinin kokoelma
Kallio vedessä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Kallio vedessä,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Folies Bergeresta,Ateneum,1919,Antellin kokoelmat
Folies Bergeresta,Ateneum,1919,Antellin kokoelmat; Ramsayn testamenttikokoelma
nimetön (maisema),Kiasma,1999,Maj-Lis Pitkäsen kokoelma
Koski Kajaanissa,Ateneum,2001,Ester ja Jalo Sihtolan Taidesäätiön lahjoituskokoelma
Nokturno,Kiasma,1997,Kalle Koroma
Sisäkuva,Kiasma,1999,Maj-Lis Pitkäsen kokoelma
"Kuvitusta kirjaan Finska Folksagor, Berättade af Rafaël Hertzberg, satu Den Underbara björken, luonnos sivun 79 kuvitukseen",Ateneum,2011,Ateneumin ystävien kokoelma
Rantamaisema,Ateneum,1953,Antellin kokoelmat
El Torero (Corrida),Ateneum,1998,Viiva ja väri -ryhmän arkistokokoelma
Henricus Steenwyck,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat
Henricus Steenwyck,Sinebrychoffin taidemuseo,1900,Antellin kokoelmat; Collanin kokoelma
Lähtö,Kiasma,2013,Markus Heikkerön kokoelma
