Iltakävely,Ateneum,1999
Tupa,Ateneum,1987
Näyttelijä,Kiasma,2015
nimetön,Kiasma,1999
Akkunan ääressä,Ateneum,2001
Maalaus,Kiasma,1986
no title,Kiasma,2012
nimetön,Kiasma,1999
Window I,Kiasma,1974
Karkea jäljennös Ylimystö-sarjasta n.1624,Sinebrychoffin taidemuseo,1919
Hauta,Ateneum,1955
Kaksi poikaa,Ateneum,1989
Istuva tyttö,Ateneum,1937
Keskeissommitelma,Kiasma,1999
Originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen (ruots. painos),Ateneum,1903
nimetön ; luonnos,Kiasma,1999
"Fécondité, Äiti ja lapsi",Ateneum,1913
Merimaisema,Kiasma,1990
Riekkoja,Ateneum,2003
Vinosti takaapäin kuvattu nuorukainen ja tyttö pitämässä toisiaan kädestä,Ateneum,1913
Makaava lehmä,Sinebrychoffin taidemuseo,1900
Ateria,Ateneum,1919
nimetön,Kiasma,1999
Musisoivia talonpoikia kapakassa,Sinebrychoffin taidemuseo,1900
Kalastaja,Ateneum,1936
?,Sinebrychoffin taidemuseo,1919
Julisteluonnos,Ateneum,1953
Laika-koira opastaa taiteen avaruuteen: Moderni kuvanveisto,Kiasma,1993
Petäjä torpan edessä,Ateneum,1907
Vanha kello,Kiasma,1996
Parrakkaan miehen rintakuva,Ateneum,1989
Muotokuvaluonnos,Ateneum,1953
Kolme venekuntaa,Ateneum,1989
Harvennettua metsää,Ateneum,1926
Luurankoviulu,Kiasma,1999
Bela Boris,Kiasma,2003
Äiti pesee lastaan pesusienellä tytön katsellessa äidin olan yli,Ateneum,1989
Salkusta: Architettura ed ornati della loggia del Vaticano,Sinebrychoffin taidemuseo,2011
"Rimbaud, cool impudence on his part",Kiasma,1976
Mrs. Morewood,Ateneum,1995
Suuriuhtinas Anna,Sinebrychoffin taidemuseo,1921
Kohde -333,Kiasma,1975
Kastelholman linnan rauniot ; Harjoitelma pienestä tytöstä ja riippuvasta vaatteesta (kaksipuolinen teos),Ateneum,1874
no title,Kiasma,2013
Kaupungin muuri ; Vuoristolaisia (kaksipuolinen teos),Ateneum,1992
Syleily,Kiasma,1999
Näyttelijä Kataoka Ichizo näytelmässä Kanadehon chusingura (Uskolliset vasallit),Ateneum,1908
no title,Sinebrychoffin taidemuseo,1919
Suomi sulaa,Kiasma,2002
Suuri tankosarja: 7/11,Kiasma,1998
Myrskyinen merimaisema,Sinebrychoffin taidemuseo,1921
Istuva nainen,Ateneum,2011
"Kalevalan kuvitusta, R.W. Ekmanin mukaan",Ateneum,1889
Kaikkivaltias,Sinebrychoffin taidemuseo,1900
Kuikka nousee lentoon,Ateneum,1917
nimetön (omakuva),Kiasma,1999
"Urania, luonnos teatterin kattomaalaukseksi",Ateneum,1873
P. Hieronymus ulkosalla,Sinebrychoffin taidemuseo,1900
originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen,Ateneum,1903
Syksyinen vaaramaisema (Keräsenvaara),Ateneum,1994
49. Maalaus,Kiasma,2003
Arvostelulautakunta,Kiasma,1999
Uni,Ateneum,1966
"Istuva, lapioonsa nojaava mies, luonnos",Ateneum,2011
Porvoo lumessa,Ateneum,1958
"Leijona, Pelikaani, Alfa ja omega. Luonnoksia Tampereen tuomiokirkon lasimaalauksiin",Ateneum,1987
Sikarityö,Kiasma,2014
Marie von Heiroth,Ateneum,1975
Maisemaharjoitelma Italiasta,Ateneum,1917
"Neljä maisemaa liimattuna samalle pahville: kuutamo merellä, saari ja purjevene sekä kolme rantamaisemaa kalastajamajoineen",Ateneum,1943
Perunannosto,Ateneum,1937
Onnagata-näyttelijän roolikuva,Ateneum,1994
Kallio vedessä,Sinebrychoffin taidemuseo,1900
Untitled,Ateneum,1977
Sade,Ateneum,2003
Folies Bergeresta,Ateneum,1919
Ylitornio,Kiasma,1998
Poika karvalakki päässä,Ateneum,1948
nimetön (maisema),Kiasma,1999
Koski Kajaanissa,Ateneum,2001
"Purjeveneluonnoksia, kaksipuoleinen teos",Ateneum,1944
Luotsi Karl Söderlind,Ateneum,1910
Nokturno,Kiasma,1997
Juoru,Ateneum,1972
"Selin istuva, tuolin selkänojaan nojaava alaston",Ateneum,1989
"Luonnoskirja, (94s)",Ateneum,2003
Luonnoskirja (40s),Ateneum,2003
"Kukko, kanoja ja kissoja",Ateneum,1989
Kuolema ja kukka,Ateneum,1903
Rantamaisema,Ateneum,1874
Scarlet,Kiasma,2005
Työhuoneen ikkuna,Ateneum,1965
